,Job Title,Location,Date,Link,Job Attributes,Job Description
25,Outreach Case Manager (Commercial Sexual Exploitation),Lynn,Apr 20,https://boston.craigslist.org/nos/npo/d/lynn-outreach-case-manager-commercial/7111034737.html,"
compensation: Competitive pay and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Outreach Worker 
The Outreach Worker is responsible for providing emergency and transitional/ongoing support to girls who have been victims of commercial sexual exploitation.  The Outreach Worker will work closely with the We Rise team to create Care Plans in order to best assist victims of commercial sexual exploitation to leave the life and create positive futures.  This position will be responsible for performing all job duties and descriptions according to program policies and procedures.

Essential Job Functions:
•	Provide a survivor voice to ensure survivor-informed, culturally relevant policies and procedures so that all aspects of service delivery are trauma-informed and evidenced-based.
•	Carry out tasks as part of the public awareness plan; liaise with key community organizations to ensure prompt recognition of victims and referral to the program.
•	Cover the 24/7 hotline according to program schedule.
•	When called, respond in person to administer psychological first aid to girls who are in the life; provide resources, such as Bags of Hope, and emergency aid (food gift certificates, transportation, emergency temporary housing) to offer a path out.
•	Enlist translation services as necessary.
•	Carry a caseload of girls who have chosen to engage in transitional services.  Connect with each girl on caseload in person at least 1X/week; contact girls via phone/technology at least 3x/week.
•	Along with the program team and consultants, create a Care Plan for each girl on caseload to include the provision of housing, healthcare, mental health, educational and vocational services.  Plan also includes CSEC specific supports, such as Mentoring, group, etc.
•	Facilitate referrals to our preferred network to meet service needs; remove obstacles to following through with referrals.
•	Work collaboratively with law enforcement to enhance girls’ safety and aid in prosecution, when appropriate.
•	Responsible for ensuring a robust schedule of services to include survivor-led group counseling, substance abuse peer support, etc.; take the lead in some service provision.
•	Ensure that data is promptly entered into File Maker; review quarterly outcomes data with the team.

Job Requirements
Personal history as a survivor of commercial sexual exploitation as an adolescent or young adult strongly preferred (this may include exploitation through prostitution, stripping, or pornography). A significant length of time in recovery from sexual exploitation (out of the commercial sex industry). A minimum of a high school diploma or GED. A current driver’s license and access to a car. Bilingual in Spanish and English preferred.

This is a great opportunity which offers a competitive benefit package and salary. Interested and qualified applicants should be looking for a rewarding opportunity to grow with an organization in a flexible and fun work environment.  

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&ccId=19000101_000001&jobId=319355&source=CC2&lang=en_US

"
26,Sales and administration,WATERTOWN,Apr 18,https://boston.craigslist.org/gbs/npo/d/watertown-sales-and-administration/7110280312.html,"
compensation: Depending on experience 15$-17 an hour & up plus possible commission

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Responsibilities

Cold calling customers and face to face meetings with MRO customers in order to close sales

Working on federal and government bids

Sorting through emails, answering phone calls from customers, and answering questions from customers and vendors in a timely manner

Working on and updating Social media, Amazon, Google Ads etc.



*The Ideal Candidate Should Be Able To Multitask

*Make and supply a daily log list of accomplished tasks
Multitask with little supervision

Self-motivated, energetic, and a self-starter

Demonstrate a professional demeanor on the phone and in person

Sales experience helpful, but not required we will train the right individual

Part Time $15.00 -$17.00 per hour plus commission
"
27,$75 M Quantum Energy - Matching Funds,Tempe,Apr 18,https://boston.craigslist.org/sob/npo/d/tempe-75-quantum-energy-matching-funds/7110276340.html,"
compensation: Please provide qualifications and experience

employment type: contract

non-profit organization

","

QR Code Link to This Post


Quantum Energy hardware has arrived. We are the only non-profit in the world that consolidated scientists to answer the continual global cry for Climate Change. Our current global path we are on is not sustainable and Quantum energy and applications are the only real answer. Our team members consist of well-respected seasoned Quantum scientists, authors, and lecturers who graciously acknowledge the past work of Nikola Tesla, Max Planck and a host of quantum masters including those that passed in the more recent years. 

Management has an Institutional background and are also significant donors. They are known by numerous Countries and prominent companies. The Vaccine for COVID-19 has our focus as it should and our world will be changed because of this. Let’s not forget our home - planet earth. It is also sick. Was the COVID-19 an outcome of how we are treating our planet?

The time is now for us to make this shift and return ourselves and our children back to a sense of well-being and a life full of peace and abundance. The people make this decision and our role is the steward to make this happen and ask for your support in this nonprofit challenge.

Our primary focus includes education of a myriad of quantum applications starting with teaching children through all avenues of education, including story books. 100 Acres of land has already been donated for the Research and Educational Center University using online education. 

These Quantum applications replace all forms of CO2 generation our largest immediate challenge. Chemistry changes in the nanoworld and it applies to all forms of travel (including space), soil, food, water, AI and a myriad of so many more restorative applications. International University reports even show indicators of clearing nuclear contamination. Another University report with energy performance.

The achievements to date consist of operable functioning equipment, prototypes, and proof of concepts, university studies, patents issued and pending. This investment donation phase has been broken down into separate use of funds into 4 technologies each with many applications to hedge any perceived risk or doubts. 

In our end of life decisions there is no greater act of Love and fulfilling our sense of purpose than supporting our children’s future and protect them. It is the fundamental goal and we feel that obligation from our entire team and ask you to join us.

Our minimum goal is $75 Million in matching asset cash funds. Small donations are accepted and Grant writers come please join us. We also will provide the appropriate IRS donation certificate. If you choose to be a part of our goals we look forward to hearing from you. Those who respond, please respectfully identify your role and authority with your fund which will be held under the strictest confidentiality. Curiosity seekers please avoid answering. What you can do is notify candidates that would want to know about donating to this effort.

See our Director of Development for fundraising compensation and compliance.
"
28,Caregiver Specialist,"Waltham, MA",Apr 16,https://boston.craigslist.org/gbs/npo/d/waltham-caregiver-specialist/7109295715.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a dedicated, compassionate individual to work with family caregivers. The Caregiver Specialist provides support, education, and advocacy for caregivers in identifying and obtaining services.  
Position Description:
The Caregiver Specialist is in the unique position to help those who provide care make informed decisions, solve problems, reduce stress, and maintain overall physical and emotional health. The Caregiver Specialist will meet with individual or multiple family caregivers to identify and communicate their role in the care of a loved one. Consultations with caregivers often include an assessment of care-giving needs, suggestions about resource options, and follow-up assistance.  The Caregiver Specialist will also conduct outreach and make presentations about the program as well as represent Springwell at community events.
Essential job functions include:
Conduct meetings and assessments with caregivers over the phone, at their home, in the community, or at the Springwell office.
Provide support, resources, and action planning based on the prioritized needs of the caregiver.
Collaborate and problem solve with colleagues on shared cases.
Provide follow-up and additional support as needed.
Document communication with caregivers and collaterals clearly and accurately.
Edit and revise informational materials.
Conduct community outreach and presentations about Springwell and the Caregiver Program.
Organize educational events for caregivers in the community.
Qualifications:
Bachelor's Degree required. Master's Degree in Social Work, Psychology, Counseling or related field preferred.  Social Work license preferred.
At least two years of experience working with caregivers, elders, or adults with disabilities.
Excellent organizational, interpersonal, and communication skills.
Ability to adapt to the needs of individual caregivers.
Ability to work both independently and collaboratively with co-workers, adapt to changes and problem-solve.
Ability to conduct presentations to community groups.
Benefits 
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
Company Profile 
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1387273-145310.html "
29,Information and Consultation Specialist,"Waltham, MA",Apr 16,https://boston.craigslist.org/gbs/npo/d/waltham-information-and-consultation/7109295541.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking an empathetic specialist to provide information, referral and intake services to consumers, their caregivers and other professionals. The specialist needs excellent interpersonal and computer skills to provide non-biased information over the phone, via email and in-person.
POSITION DESCRIPTION
Information and Referral Specialists are the ""face of the agency"", often serving as peoples' first point of contact with Springwell. I&R Specialists primarily work with consumers via telephone; they are excellent, non-judgmental listeners, who strive to provide excellent customer service. I&R Specialists assess consumers' needs and make appropriate internal and external referrals. The team researches community resources and updates informational materials which are utilized by both consumers and Springwell staff. They are also responsible for creating and maintaining consumer records in the state's electronic database.
QUALIFICATIONS
The position requires a Bachelor's degree and previous social service experience preferably with older adults, individuals with disabilities and/or providing information and referral resources via telephone.
Must have excellent customer service skills and computer skills. 
Must be able to collaborate with co-workers, adapt to changes and problem-solve.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking 
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities. 
We believe in:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Referral, Information and Referral, Information and Consultation, Customer Service Representative
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1387268-143011.html "
30,Residential Permanency Youth Counselors-     PRE-ILP,Lynn,Apr 16,https://boston.craigslist.org/nos/npo/d/lynn-residential-permanency-youth/7109199879.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Pre-Independent Living Program- Lynn
Monday-Friday 8AM-5PM Full-Time (Male Candidate)

The Direct Care Staff with Centerboard's Youth Services Programs are an integral part of the residents' treatment team. All staff must be well versed in understanding, creating and maintaining a trauma-informed care and be amendable to function as a generalist in the daily care of clients and their environment. Direct Care Staff must become proficient in understanding and treating the behavioral and emotional deficits of at risk youth. They must provide safety and structure while understanding when and how to intervene and teach new, healthier responses to stress and anxiety.

*Applicants should have experience in a direct care or residential setting as well as working with youth or young 
adults in goal setting and personal development.
*Primary responsibilities include assisting residents with life skills, setting and achieving goals as well as maintaining a safe environment.
*Strong observational skills and the ability to document all aspects of resident's care and progress.
*Strong communication skills and working with minimal supervision is necessary.
*Additional duties include oversight of program residents and shift requirements.
*Applicants with residential experience or advocacy encouraged to apply.
*Centerboard offers competitive salaries and benefit packages.
*If you are looking for a flexible work environment and want to give back to youth in need, this job is for you.

Job requirements include a valid driver's license, a bachelor's degree or some college education preferred. MAP certification is required after 90 days of employment (Centerboard will assist with training & certification). Ability to pass CORI/DCF/SORI Background check. Must complete & pass 3 full days of training.

Interested and qualified applicants should apply through our website online application process by using the link below. Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
31,Awake Overnights-Teen Living/Parenting-Melrose,Melrose,Apr 16,https://boston.craigslist.org/gbs/npo/d/melrose-awake-overnights-teen-living/7109197891.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Awake Overnight Opportunities - Teen Living/Parenting Program

Full-Time & Part-Time Shifts:  Chelsea&Melrose (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
32,Delivery Drivers (Per Diem),Jamaica Plain,Apr 16,https://boston.craigslist.org/gbs/npo/d/jamaica-plain-delivery-drivers-per-diem/7109120495.html,"
compensation: $16.50 per hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Massachusetts’ free, home-delivered meals program for the critically ill has current openings for temporary per diem Delivery Drivers. Community Servings is a non-profit food and nutrition program focused on the nutritional needs of underserved populations across the state.  Over the past 27 years, we have delivered over 7 million free meals to the critically ill in the context of medical nutrition therapy.

In this role you will be responsible for loading of our vans and delivering prepared meals to our clients. Shifts are up to 8 hours on Monday – Friday and schedules will vary depending upon the daily delivery schedule.

Community Servings knows that diversity drives excellence. We are a place where everyone is welcome. We celebrate, promote, and derive strength from a diversity of lived experiences. We actively seek and encourage an inclusive workforce. 

PRIMARY RESPONSIBILITIES:
•	Obtain client bags from refrigerated units and load vans as directed.
•	Review route sheets and establish food counts in order to load the van for food delivery.
•	Deliver weekly bags to approximately 35 – 50 client homes per day.
•	Access MapPoint program to locate new stops and produce maps.
•	Other duties may be assigned.

 QUALIFICATIONS:
•	A strong customer service orientation - friendly, flexible and compassionate
•	Experience in loading, map reading and food delivery
•	Experience with safety and food handling sanitation standards
•	Skill in interpersonal relations for the effective communication with a multi-cultural client and volunteer 
        population.
•	Skill in the effective use of English language to read and express ideas/facts orally and in writing.
•	Skill in the use of personal computers.
•	Valid Massachusetts Driver’s License and a clean driving history
•	Able to successfully pass a Criminal Offender Records Inquiry (CORI) Background Check
•	Bi-lingual speaking ability (e.g. Spanish) is a plus.
•	High School Diploma and one to three years’ experience driving a 10,000 lb. van.

TO APPLY:
Complete an application on our online Career Center at:

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=048c71fd-8da2-4362-afe1-bc713c42fbc7&ccId=19000101_000001&jobId=362622&source=CC2&lang=en_US

or call Human Resources at 617-752-9426.
"
33,Quality and Compliance Manager,"Waltham, MA",Apr 15,https://boston.craigslist.org/gbs/npo/d/waltham-quality-and-compliance-manager/7108783197.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Exciting opportunity for the unique professional who has great clinical skills and enjoys working with data.
POSITION DESCRIPTION
Springwell is seeking an individual to oversee quality assurance and improvement activities throughout the agency. The position has a variety of responsibilities that will consist of:
hands on tasks such as running and reviewing reports, and conducting record reviews, 
collaborating with Program Managers to implement and maintain systems that monitor compliance with standards, 
identifying and creating practices that improve the delivery of programs, 
providing leadership around the development and process of annual surveys and record reviews,
organizing and leading the Quality Improvement Committee,
developing an annual Quality Improvement Plan, and
tracking and analyzing data to support quality outcomes.
QUALIFICATIONS
Our ideal candidate is incredibly organized and able to balance many competing projects, flexible and able to quickly switch priorities, believes in the importance of meeting standards and is able to use data to make decisions and support recommendations.
Master's degree preferred. Bachelor's Degree required.
Experience as a Supervisor or Manager preferred.
Familiarity with community services for elders and the Massachusetts aging network preferred.
Demonstrated planning, program development and management skills.
Demonstrated leadership ability and the ability to work independently as well as part of a team.
Excellent verbal, written and computer skills.
A reliable car, current driver's license and safe driving record required.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Employee referral bonuses
Free parking 
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities. 
We believe in:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Boston, Social Services, Social Work, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, LICSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Clinical, Supervision, Supervisor, Supervisory, Manager, Management, Public Health, Quality Assurance, Quality Improvement, Quality, Director, Compliance
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1386631-143011.html "
34,Administrative Assistant,"Waltham, MA",Apr 15,https://boston.craigslist.org/gbs/npo/d/waltham-administrative-assistant/7108783150.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a Full Time Administrative Assistant to join our Support Staff Team!
POSITION DESCRIPTION
The Administrative Assistant will provide overall administrative support for designated Springwell staff.    
Responsibilities for this position may include:
Administrative duties such as copying, filing, scanning, typing, mailing, and phone calls
Providing daily coverage for other administrative assistants and the receptionist as needed
Providing administrative support for projects, which may include compiling materials, data entry, and running reports
Maintaining cleanliness of staff lounge, common areas and meeting rooms
Assisting with scheduling, correspondence, and tracking deadlines
Performance of other office duties as requested
QUALIFICATIONS
Associates Degree or 2 years of administrative experience in an office setting preferred
Previous experience in the human services or healthcare field preferred
Ability to prioritize responsibilities and maintain flexibility with assigned tasks
A positive attitude and willingness to support others
Ability to work independently as well as part of a team 
Knowledge of computer software applications such as word processing, spreadsheets, and databases
BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 37 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Administrative Assistant, Receptionist, Support Staff, Office Administrator, Clerk, Data Entry Clerk, Receptionist/Administrative Assistant, Office Assistant, Executive Assistant, Social Services, Social Work, Care Coordinator, Elder, Geriatric Care, Assisted Living, Human Services, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Council on Aging, Assistant, Support
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1386615-143011.html "
35,Human Resources Recruitment Coordinator,"Waltham, MA",Apr 15,https://boston.craigslist.org/gbs/npo/d/waltham-human-resources-recruitment/7108783103.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a Recruitment Coordinator to join our HR team! The Human Resources Recruiter will be responsible for coordinating the agency's efforts around recruitment and hiring of new personnel.
POSITION DESCRIPTION
The Human Resources Recruitment Coordinator will be responsible for coordinating the agency's efforts around hiring new employees, including posting open positions, screening resumes, conducting phone interviews, and maintaining the agency's applicant tracking system. The Recruitment Coordinator will also be involved in the onboarding process and will be responsible for overall general Human Resources support for the agency. 
QUALIFICATIONS
Bachelor's degree in Human Resources or related field.
Minimum 1 year experience in Recruitment.
Strong skills in computer programs including Microsoft Office Suite (especially Outlook and Excel) required.
Familiarity with ApplicantPro or similar applicant tracking system a plus.
The ability to handle sensitive and confidential information a must. 
Strong organizational skills, ability to shift priorities and attention to detail.
Strong verbal, written, and interpersonal skills.
A reliable car, current driver's license and safe driving record required.
 GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/employer contribution
Mileage reimbursement
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities. 
We believe in:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Case Management, Social Services, Social Work, Social Worker, Elder, Geriatric Care, Human Services, Health Care, Outreach, Public Health, Human Resources, Human Resources Manager, Hiring Manager, Human Resources Generalist, Human Resources Coordinator, Human Resources Specialist, HR, Payroll, Nonprofit, Recruiter, Recruitment, Talent Acquisition.
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1386595-143011.html "
